File Name:,File number:,Surface Area (mm^2),myFD,FileFD,minScale,boundVolume,SA_BoundVolume_Ratio,numVertices,boundLength,boundWidth,boundHeight,myX,myY
Psammocora digitata,1087,5470.550553,2.042399139,2.145511396,0.050341,70365.82894,0.07774441993,1762583,41.49438,55.27068,30.68158,"[3.484092804461018, 3.8403485890645785, 4.196604373668139, 4.5528601582717, 4.90911594287526, 5.26537172747882, 5.621627512082381, 5.977883296685942, 6.334139081289503, 6.690394865893063, 7.046650650496623, 7.402906435100183, 7.759162219703745, 8.115418004307305, 8.471673788910865, 8.827929573514426, 9.184185358117986, 9.540441142721548, 9.896696927325108, 10.252952711928668, 10.60920849653223, 10.96546428113579, 11.321720065739349, 11.677975850342909, 12.03423163494647, 12.39048741955003, 12.746743204153592, 13.102998988757152, 13.459254773360712, 13.815510557964274]","[2.0794415416798357, 2.302585092994046, 3.044522437723423, 3.8918202981106265, 4.574710978503383, 5.501258210544727, 6.263398262591624, 7.044032897274685, 7.787796878181171, 8.506940814951886, 9.222170123729759, 9.927350552800656, 10.626144990470014, 11.312729101439343, 11.986167594608146, 12.64041347473663, 13.263277699013669, 13.834119335650616, 14.071389995163033, 14.175575848178537, 14.242025880820725, 14.285907859710822, 14.31574691279963, 14.3360849081042, 14.350184730882223, 14.359807901041249, 14.366801504650766, 14.371534187531475, 14.37477256904233, 14.376961232893038]"
Sandalolitha dentata,1994,123438.1996,2.354020052,2.341720926,0.112464,1431178.083,0.08624936415,7919530,120.66597,90.49333,131.06668,"[2.4024791326498156, 2.7960319404192795, 3.1895847481887434, 3.583137555958208, 3.976690363727672, 4.370243171497136, 4.7637959792666, 5.157348787036065, 5.550901594805528, 5.944454402574992, 6.338007210344456, 6.73156001811392, 7.125112825883385, 7.518665633652848, 7.912218441422313, 8.305771249191777, 8.69932405696124, 9.092876864730705, 9.486429672500169, 9.879982480269632, 10.273535288039096, 10.66708809580856, 11.060640903578026, 11.454193711347488, 11.847746519116955, 12.241299326886418, 12.634852134655882, 13.028404942425345, 13.42195775019481, 13.815510557964274]","[0.6931471805599453, 1.3862943611198906, 2.6390573296152584, 3.4011973816621555, 4.477336814478207, 5.552959584921617, 6.57507584059962, 7.56164174558878, 8.495152060539358, 9.42424134192346, 10.352746235642707, 11.284027890973322, 12.203579540324462, 13.08576578087051, 13.904647175030536, 14.64136135113338, 15.28249995240859, 15.565426330356416, 15.683502871158478, 15.753578753404831, 15.79791421571817, 15.827013672035763, 15.846230101901295, 15.858895684814136, 15.867395633888183, 15.873057272723862, 15.87696912078308, 15.879501476126746, 15.881225316964642, 15.88239736778095]"
tenactis echinata,2480,57539.11394,2.231789968,2.211263293,0.557468,1248975.729,0.04606904091,136765,108.32151,121.427113,94.956265,"[2.354338861804725, 2.7495516789136754, 3.144764496022625, 3.539977313131575, 3.9351901302405246, 4.330402947349475, 4.725615764458425, 5.120828581567375, 5.516041398676325, 5.911254215785275, 6.306467032894225, 6.701679850003175, 7.096892667112125, 7.492105484221074, 7.8873183013300245, 8.282531118438975, 8.677743935547925, 9.072956752656875, 9.468169569765825, 9.863382386874775, 10.258595203983726, 10.653808021092676, 11.049020838201626, 11.444233655310574, 11.839446472419525, 12.234659289528475, 12.629872106637423, 13.025084923746373, 13.420297740855323]","[0.0, 1.6094379124341003, 2.4849066497880004, 3.332204510175204, 4.276666119016055, 5.220355825078324, 6.192362489474872, 7.118826249062078, 7.987524479848767, 8.834773814213882, 9.672248823507559, 10.444561061459837, 11.08447828047014, 11.503117523979142, 11.705288107574903, 11.785415216313465, 11.812607746037443, 11.82118927289928, 11.823991977654746, 11.824878109746404, 11.825331856826788, 11.82558791348255, 11.825748829828342, 11.825843904590085, 11.82588778220081, 11.825960907273968, 11.825975531646948, 11.825975531646948, 11.825975531646948]"
Turbinaria mesenterina,1485 (X),55789.43919,2.128141061,2.217578002,0.296115,3386208.601,0.016475488,476491,147.26358,131.65999,174.64837,"[2.027532512895622, 2.4340145144497134, 2.840496516003805, 3.246978517557897, 3.653460519111988, 4.0599425206660795, 4.466424522220171, 4.872906523774263, 5.279388525328354, 5.685870526882445, 6.092352528436536, 6.498834529990629, 6.905316531544719, 7.311798533098811, 7.718280534652903, 8.124762536206994, 8.531244537761085, 8.937726539315177, 9.344208540869268, 9.75069054242336, 10.15717254397745, 10.563654545531543, 10.970136547085636, 11.376618548639724, 11.783100550193817, 12.18958255174791, 12.596064553302, 13.002546554856092, 13.409028556410185, 13.815510557964274]","[0.6931471805599453, 1.6094379124341003, 2.3978952727983707, 3.295836866004329, 4.110873864173311, 5.043425116919247, 6.023447592961033, 6.9363427358340495, 7.875499292445208, 8.765146421639022, 9.595738817934032, 10.389672062385667, 11.155107010329417, 11.871396794441878, 12.511868419846172, 12.757973031867884, 12.874191719728005, 12.945089061831887, 12.990070075172351, 13.019142792682413, 13.037820224569062, 13.049730317033282, 13.058144805077678, 13.063400748711873, 13.066977509323594, 13.069521516184796, 13.070975341686855, 13.07212636705758, 13.072717146914663, 13.073206746094016]"
Turbinaria mesenterina,2512,33935.19394,2.239785831,2.247052958,0.374935,499441.2039,0.06794632417,156554,106.406166,46.269508,101.443142,"[3.073272109359442, 3.4436941248285744, 3.8141161402977066, 4.184538155766839, 4.554960171235971, 4.925382186705103, 5.295804202174235, 5.666226217643367, 6.0366482331124995, 6.407070248581632, 6.777492264050763, 7.147914279519896, 7.518336294989028, 7.888758310458161, 8.259180325927293, 8.629602341396424, 9.000024356865557, 9.370446372334689, 9.74086838780382, 10.111290403272953, 10.481712418742084, 10.852134434211218, 11.222556449680349, 11.592978465149482, 11.963400480618613, 12.333822496087747, 12.70424451155688, 13.074666527026011, 13.445088542495142, 13.815510557964274]","[1.6094379124341003, 2.302585092994046, 3.295836866004329, 4.07753744390572, 4.955827057601261, 5.8289456176102075, 6.727431724850855, 7.630461261783627, 8.496582237512113, 9.313167681775653, 10.059593462511671, 10.691853999677008, 11.177424756262903, 11.510743085311162, 11.72856896105261, 11.865875479967091, 11.934650986423286, 11.951548070236374, 11.957233009565872, 11.958924526118684, 11.959813986709912, 11.960204075891804, 11.960549273808702, 11.960779339570179, 11.960887963339085, 11.960964631837314, 11.961015740904072, 11.96105407099, 11.96109239960679, 11.961111563364291]"
Turbinaria peltata,2505,29067.79162,1.991057367,2.107304218,0.326041,487005.8555,0.05968673947,127455,84.451299,79.787479,72.275833,"[2.6272654657224157, 3.013067020627307, 3.398868575532199, 3.7846701304370907, 4.170471685341982, 4.556273240246874, 4.942074795151766, 5.327876350056657, 5.713677904961549, 6.099479459866441, 6.485281014771333, 6.871082569676224, 7.2568841245811155, 7.642685679486007, 8.0284872343909, 8.41428878929579, 8.800090344200683, 9.185891899105574, 9.571693454010466, 9.957495008915359, 10.34329656382025, 10.72909811872514, 11.114899673630033, 11.500701228534924, 11.886502783439816, 12.272304338344709, 12.658105893249598, 13.04390744815449, 13.429709003059383, 13.815510557964274]","[2.0794415416798357, 2.302585092994046, 3.044522437723423, 3.828641396489095, 4.68213122712422, 5.476463551931511, 6.304448802421981, 7.110696122978827, 7.894690850425624, 8.69751274553952, 9.462187991418748, 10.173209299610916, 10.77067207030233, 11.206305191498197, 11.481775297177933, 11.644655235648123, 11.726172203999125, 11.746526149384719, 11.75175337120449, 11.753303643205992, 11.754113235742224, 11.754615953571017, 11.754937874420527, 11.755141965665722, 11.755322473206325, 11.755353862496301, 11.755377403817207, 11.7554244847965, 11.755440177963695, 11.75546371725273]"
